space, 32
escape, 256
enter, 257
tab, 258
backspace, 259
insert, 260
delete, 261
right, 262
left, 263
down, 264
up, 265
page_up, 266
page_down, 267
home, 268
end, 269
caps_lock, 280
scroll_lock, 281
num_lock, 282
print_screen, 283
pause, 284
f1, 290
f2, 291
f3, 292
f4, 293
f5, 294
f6, 295
f7, 296
f8, 297
f9, 298
f10, 299
f11, 300
f12, 301
f13, 302
f14, 303
f15, 304
f16, 305
f17, 306
f18, 307
f19, 308
f20, 309
f21, 310
f22, 311
f23, 312
f24, 313
num_0, 320
num_1, 321
num_2, 322
num_3, 323
num_4, 324
num_5, 325
num_6, 326
num_7, 327
num_8, 328
num_9, 329
num_decimal, 330
num_divide, 331
num_multiply, 332
num_subtract, 333
num_add, 334
num_enter, 335
num_equals, 336
left_shift, 340
left_control, 341
left_alt, 342
left_super, 343
right_shift, 344
right_control, 345
right_alt, 346
right_super, 347
menu, 348
